iter	Passed	Remaining
0	3	343
1	6	314
2	9	300
3	11	279
4	14	281
5	17	276
6	20	272
7	22	259
8	24	248
9	26	239
10	28	233
11	30	227
12	32	219
13	34	213
14	36	207
15	38	200
16	39	193
17	41	189
18	43	183
19	44	178
20	45	172
21	47	167
22	48	162
23	49	157
24	51	153
25	52	148
26	53	144
27	55	142
28	57	139
29	58	136
30	59	133
31	61	130
32	62	127
33	63	123
34	65	121
35	66	118
36	68	115
37	69	113
38	71	111
39	72	108
40	73	106
41	74	102
42	75	100
43	77	98
44	78	95
45	79	93
46	80	90
47	81	88
48	83	87
49	85	85
50	87	83
51	88	81
52	90	80
53	91	77
54	92	75
55	93	73
56	94	71
57	95	69
58	96	67
59	98	65
60	99	63
61	100	61
62	102	59
63	103	58
64	104	56
65	105	54
66	107	52
67	108	51
68	109	49
69	110	47
70	112	45
71	113	44
72	114	42
73	115	40
74	117	39
75	118	37
76	119	35
77	120	34
78	122	32
79	123	30
80	125	29
81	127	27
82	129	26
83	133	25
84	137	24
85	140	22
86	144	21
87	147	20
88	150	18
89	154	17
90	158	15
91	161	14
92	164	12
93	167	10
94	169	8
95	172	7
96	174	5
97	177	3
98	179	1
99	182	0
